[2024-09-18 17:33:29] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-09-18 17:33:29] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2024-09-18 17:33:29] [class-ss-archive-creation-job.php:102] Pushing first task to queue: setup
[2024-09-18 17:33:30] [class-ss-archive-creation-job.php:136] Current task: setup
[2024-09-18 17:33:30] [class-ss-archive-creation-job.php:153] Performing task: setup
[2024-09-18 17:33:30] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-09-18 17:33:31] [class-ss-setup-task.php:33] Creating archive directory: /Users/julziten/Local Sites/estupendavibra/app/public/wp-content/uploads/simply-static/temp-files/simply-static-1-1726680809/
[2024-09-18 17:33:32] [class-ss-setup-task.php:72] Adding origin URL to queue: http://estupendavibra.local/
[2024-09-18 17:33:32] [class-ss-setup-task.php:145] Adding files from directory: /Users/julziten/Local Sites/estupendavibra/app/public/wp-content/uploads
[2024-09-18 17:33:32] [class-ss-setup-task.php:150] Adding file /Users/julziten/Local Sites/estupendavibra/app/public/wp-content/uploads/salient/menu-dynamic.css to queue as: http://estupendavibra.local/wp-content/uploads/salient/menu-dynamic.css
[2024-09-18 17:33:32] [class-ss-setup-task.php:150] Adding file /Users/julziten/Local Sites/estupendavibra/app/public/wp-content/uploads/2024/07/IMG_0907-900x600.jpg to queue as: http://estupendavibra.local/wp-content/uploads/2024/07/IMG_0907-900x600.jpg
[2024-09-18 17:33:32] [class-ss-setup-task.php:150] Adding file /Users/julziten/Local Sites/estupendavibra/app/public/wp-content/uploads/2024/07/Aesthetic-Brown-Search-Bar-Daily-Vlog-YouTube-Intro-Video-2-350x350.png to queue as: http://estupendavibra.local/wp-content/uploads/2024/07/Aesthetic-Brown-Search-Bar-Daily-Vlog-YouTube-Intro-Video-2-350x350.png
[2024-09-18 17:33:32] [class-ss-setup-task.php:150] Adding file /Users/julziten/Local Sites/estupendavibra/app/public/wp-content/uploads/2024/07/IMG_0919-140x140.jpg to queue as: http://estupendavibra.local/wp-content/uploads/2024/07/IMG_0919-140x140.jpg
[2024-09-18 17:33:32] [class-ss-setup-task.php:150] Adding file /Users/julziten/Local Sites/estupendavibra/app/public/wp-content/uploads/2024/07/Aesthetic-Brown-Search-Bar-Daily-Vlog-YouTube-Intro-Video-1-500x500.png to queue as: http://estupendavibra.local/wp-content/uploads/2024/07/Aesthetic-Brown-Search-Bar-Daily-Vlog-YouTube-Intro-Video-1-500x500.png
[2024-09-18 17:33:32] [class-ss-setup-task.php:150] Adding file /Users/julziten/Local Sites/estupendavibra/app/public/wp-content/uploads/2024/07/jaclyn-moy-KSsHVhX_5YQ-unsplash-400x269.jpg to queue as: http://estupendavibra.local/wp-content/uploads/2024/07/jaclyn-moy-KSsHVhX_5YQ-unsplash-400x269.jpg
[2024-09-18 17:33:32] [class-ss-setup-task.php:150] Adding file /Users/julziten/Local Sites/estupendavibra/app/public/wp-content/uploads/2024/07/Aesthetic-Brown-Search-Bar-Daily-Vlog-YouTube-Intro-Video-1000x1000.png to queue as: http://estupendavibra.local/wp-content/uploads/2024/07/Aesthetic-Brown-Search-Bar-Daily-Vlog-YouTube-Intro-Video-1000x1000.png
[2024-09-18 17:33:32] [class-ss-setup-task.php:150] Adding file /Users/julziten/Local Sites/estupendavibra/app/public/wp-content/uploads/2024/07/petr-sidorov-D3SzBCAeMhQ-unsplash-1870x770.jpg to queue as: http://estupendavibra.local/wp-content/uploads/2024/07/petr-sidorov-D3SzBCAeMhQ-unsplash-1870x770.jpg
[2024-09-18 17:33:32] [class-ss-setup-task.php:150] Adding file /Users/julziten/Local Sites/estupendavibra/app/public/wp-content/uploads/2024/07/Profile-140x140.jpg to queue as: http://estupendavibra.local/wp-content/uploads/2024/07/Profile-140x140.jpg
[2024-09-18 17:33:32] [class-ss-setup-task.php:150] Adding file /Users/julziten/Local Sites/estupendavibra/app/public/wp-content/uploads/2024/07/Aesthetic-Brown-Search-Bar-Daily-Vlog-YouTube-Intro-Video-2-768x432.png to queue as: http://estupendavibra.local/wp-content/uploads/2024/07/Aesthetic-Brown-Search-Bar-Daily-Vlog-YouTube-Intro-Video-2-768x432.png
[2024-09-18 17:33:32] [class-ss-setup-task.php:150] Adding file /Users/julziten/Local Sites/estupendavibra/app/public/wp-content/uploads/2024/07/andy-holmes-LUpDjlJv4_c-unsplash-1-900x600.jpg to queue as: http://estupendavibra.local/wp-content/uploads/2024/07/andy-holmes-LUpDjlJv4_c-unsplash-1-900x600.jpg
